date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,170.160004,180.100006,164.699997,167.429993,,,,
2018-02-28,167.169998,180.619995,150.240005,178.119995,,,,
2018-03-31,178.539993,183.500000,164.940002,167.779999,,,,
2018-04-30,166.639999,178.940002,160.630005,165.259995,,,,
2018-05-31,166.410004,190.369995,165.270004,186.869995,,,,
2018-06-30,187.990005,194.199997,180.729996,185.110001,,,,
2018-07-31,183.820007,195.960007,183.419998,190.289993,,,,
2018-08-31,199.130005,228.869995,197.309998,227.630005,,,,
2018-09-30,228.410004,229.669998,215.300003,225.740005,,,,
2018-10-31,227.949997,233.470001,206.089996,218.860001,191.308998,,191.308998,
2018-11-30,219.050003,222.360001,170.259995,178.580002,192.423999,,188.994635,
2018-12-31,184.460007,184.940002,146.589996,157.740005,190.386000,,183.311975,
2019-01-31,154.889999,169.000000,142.000000,166.440002,190.252000,,180.244344,
2019-02-28,166.960007,175.869995,165.929993,173.149994,191.041000,,178.954462,
2019-03-31,174.279999,197.690002,169.500000,189.949997,191.349001,,180.953650,
2019-04-30,191.639999,208.479996,188.380005,200.669998,192.905000,,184.538441,
2019-05-31,209.880005,215.309998,174.990005,175.070007,191.383002,,182.816907,
2019-06-30,175.600006,201.570007,170.270004,197.919998,188.412001,,185.562924,
2019-07-31,203.169998,221.369995,198.410004,213.039993,187.142000,,190.558755,
2019-08-31,213.899994,218.029999,192.580002,208.740005,186.130000,188.719499,193.864437,188.719499
2019-09-30,206.429993,226.419998,204.220001,223.970001,190.669000,191.546500,199.338176,192.076690
2019-10-31,225.070007,249.750000,215.130005,248.759995,199.770999,195.078500,208.323961,197.475100
2019-11-30,249.539993,268.000000,249.160004,267.250000,209.851999,200.052000,219.037786,204.120328
2019-12-31,267.269989,293.970001,256.290009,293.649994,221.901999,206.471500,232.603642,212.646963
