date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,10.420000,13.850000,10.340000,13.740000,,,,
2018-02-28,13.620000,13.840000,10.630000,12.110000,,,,
2018-03-31,12.260000,12.820000,9.790000,10.050000,,,,
2018-04-30,9.990000,11.360000,9.040000,10.880000,,,,
2018-05-31,10.830000,13.950000,10.770000,13.730000,,,,
2018-06-30,13.980000,17.340000,13.920000,14.990000,,,,
2018-07-31,14.800000,20.180000,14.740000,18.330000,,,,
2018-08-31,18.340000,27.299999,18.000000,25.170000,,,,
2018-09-30,25.620001,34.139999,25.570000,30.889999,,,,
2018-10-31,30.690001,31.910000,16.170000,18.209999,16.810000,,16.810000,
2018-11-30,18.410000,22.219999,17.180000,21.299999,17.566000,,17.626363,
2018-12-31,22.480000,23.750000,16.030001,18.459999,18.201000,,17.777933,
2019-01-31,18.010000,25.139999,16.940001,24.410000,19.637000,,18.983764,
2019-02-28,24.610001,25.520000,22.270000,23.530001,20.902000,,19.810352,
2019-03-31,23.969999,28.110001,21.040001,25.520000,22.081000,,20.848470,
2019-04-30,26.420000,29.950001,25.830000,27.629999,23.345000,,22.081475,
2019-05-31,28.950001,29.670000,26.030001,27.410000,24.253000,,23.050298,
2019-06-30,28.750000,34.299999,27.290001,30.370001,24.773000,,24.381153,
2019-07-31,31.790001,34.860001,30.100000,30.450001,24.729000,,25.484580,
2019-08-31,30.500000,35.549999,27.650000,31.450001,26.053000,21.431500,26.569202,21.431500
2019-09-30,30.830000,32.049999,28.350000,28.990000,26.822000,22.194000,27.009347,22.151357
2019-10-31,29.049999,34.340000,27.430000,33.930000,28.369000,23.285000,28.267648,23.273133
2019-11-30,34.369999,41.790001,34.099998,39.150002,29.843000,24.740000,30.246257,24.785215
2019-12-31,39.320000,47.310001,37.150002,45.860001,32.076000,26.489000,33.085120,26.792338
