date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,1172.000000,1472.579956,1170.510010,1450.890015,,,,
2018-02-28,1445.000000,1528.699951,1265.930054,1512.449951,,,,
2018-03-31,1513.599976,1617.540039,1365.199951,1447.339966,,,,
2018-04-30,1417.619995,1638.099976,1352.880005,1566.130005,,,,
2018-05-31,1563.219971,1635.000000,1546.020020,1629.619995,,,,
2018-06-30,1637.030029,1763.099976,1635.089966,1699.800049,,,,
2018-07-31,1682.699951,1880.050049,1678.060059,1777.439941,,,,
2018-08-31,1784.000000,2025.569946,1776.020020,2012.709961,,,,
2018-09-30,2026.500000,2050.500000,1865.000000,2003.000000,,,,
2018-10-31,2021.989990,2033.189941,1476.359985,1598.010010,1669.738989,,1669.738989,
2018-11-30,1623.530029,1784.000000,1420.000000,1690.170044,1693.666992,,1673.453726,
2018-12-31,1769.459961,1778.339966,1307.000000,1501.969971,1692.618994,,1642.274862,
2019-01-31,1465.199951,1736.410034,1460.930054,1718.729980,1719.757996,,1656.175792,
2019-02-28,1638.880005,1673.060059,1566.760010,1639.829956,1727.127991,,1653.203822,
2019-03-31,1655.130005,1823.750000,1586.569946,1780.750000,1742.240991,,1676.394036,
2019-04-30,1800.109985,1956.339966,1798.729980,1926.520020,1764.912988,,1721.871488,
2019-05-31,1933.089966,1964.400024,1772.699951,1775.069946,1764.675989,,1731.543935,
2019-06-30,1760.010010,1935.199951,1672.000000,1893.630005,1752.767993,,1761.014129,
2019-07-31,1922.979980,2035.800049,1849.439941,1866.780029,1739.145996,,1780.244293,
2019-08-31,1871.719971,1897.920044,1743.510010,1776.290039,1756.973999,1713.356494,1779.525338,1713.356494
2019-09-30,1770.000000,1853.660034,1709.219971,1735.910034,1761.547998,1727.607495,1771.595283,1715.504450
2019-10-31,1746.000000,1798.849976,1685.060059,1776.660034,1789.017004,1740.817999,1772.516146,1721.328792
2019-11-30,1788.010010,1824.689941,1722.709961,1800.800049,1797.224011,1758.491003,1777.658674,1728.897483
2019-12-31,1804.400024,1901.400024,1735.000000,1847.839966,1818.025012,1772.576501,1790.418909,1740.225338
