date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,259.769989,274.260010,237.009995,248.029999,,,,
2018-02-28,241.720001,255.740005,224.899994,246.460007,,,,
2018-03-31,245.860001,273.850006,234.759995,235.649994,,,,
2018-04-30,233.949997,252.850006,225.440002,229.419998,,,,
2018-05-31,230.850006,255.289993,221.979996,252.070007,,,,
2018-06-30,254.369995,271.809998,242.270004,242.639999,,,,
2018-07-31,240.089996,251.800003,197.460007,221.770004,,,,
2018-08-31,223.259995,223.940002,202.770004,219.029999,,,,
2018-09-30,218.589996,250.100006,213.919998,246.729996,,,,
2018-10-31,247.880005,252.139999,208.229996,223.490005,236.529001,,236.529001,
2018-11-30,225.160004,242.619995,213.710007,237.410004,235.467001,,236.689183,
2018-12-31,245.199997,261.589996,217.610001,254.279999,236.249001,,239.887513,
2019-01-31,248.850006,273.750000,230.330002,268.250000,239.509001,,245.044329,
2019-02-28,269.149994,286.630005,264.890015,275.359985,244.103000,,250.556267,
2019-03-31,277.730011,303.299988,259.200012,300.709991,248.966998,,259.675126,
2019-04-30,303.109985,322.450012,299.750000,318.399994,256.542998,,270.352374,
2019-05-31,320.500000,323.200012,250.089996,251.639999,259.529997,,266.950124,
2019-06-30,252.550003,291.750000,251.199997,287.859985,266.412996,,270.751917,
2019-07-31,301.679993,305.750000,272.410004,289.989990,270.738995,,274.249749,
2019-08-31,289.130005,297.820007,262.500000,282.640015,276.653996,256.591499,275.775252,256.591499
2019-09-30,280.000000,302.329987,270.000000,276.070007,280.519997,257.993499,275.828844,258.446595
2019-10-31,278.269989,294.079987,267.220001,292.850006,284.376997,260.312999,278.923600,261.723110
2019-11-30,292.989990,325.670013,292.089996,316.209991,289.172997,264.340999,285.702944,266.912337
2019-12-31,317.720001,331.200012,303.130005,316.019989,293.238997,268.670998,291.215134,271.589256
