date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,119.930000,122.510002,116.379997,120.300003,,,,
2018-02-28,119.919998,121.010002,107.940002,109.730003,,,,
2018-03-31,109.209999,113.900002,105.940002,109.150002,,,,
2018-04-30,108.620003,111.180000,100.580002,100.940002,,,,
2018-05-31,100.360001,102.239998,95.940002,100.250000,,,,
2018-06-30,100.540001,109.589996,99.650002,108.870003,,,,
2018-07-31,108.699997,116.900002,107.519997,115.000000,,,,
2018-08-31,114.419998,118.440002,110.889999,112.010002,,,,
2018-09-30,111.820000,115.519997,110.449997,111.800003,,,,
2018-10-31,112.150002,114.230003,104.529999,112.379997,110.043002,,110.043002,
2018-11-30,112.000000,122.000000,109.629997,121.940002,110.207001,,112.206093,
2018-12-31,120.480003,120.910004,105.029999,110.480003,110.282001,,111.892258,
2019-01-31,109.150002,112.900002,106.730003,112.669998,110.634001,,112.033665,
2019-02-28,112.949997,117.300003,111.449997,115.639999,112.104001,,112.689363,
2019-03-31,115.860001,123.190002,114.260002,122.550003,114.334001,,114.482206,
2019-04-30,122.589996,128.389999,120.739998,128.050003,116.252001,,116.949078,
2019-05-31,127.849998,130.899994,124.849998,128.000000,117.552001,,118.958337,
2019-06-30,127.860001,135.240005,127.489998,131.130005,119.464001,,121.171367,
2019-07-31,131.990005,135.240005,126.239998,127.809998,121.065001,,122.378391,
2019-08-31,128.960007,137.110001,123.879997,136.729996,123.500001,116.771501,124.987774,116.771501
2019-09-30,136.350006,139.179993,134.100006,137.100006,125.016001,117.611501,127.189998,118.707549
2019-10-31,136.929993,140.449997,133.490005,137.169998,127.685001,118.983501,129.004543,120.465878
2019-11-30,137.550003,138.339996,131.589996,135.830002,130.001001,120.317501,130.245536,121.929128
2019-12-31,136.649994,138.250000,134.320007,136.669998,132.104001,122.104001,131.413620,123.333020
