date,open,high,low,close,sma_10,sma_20,ema_10,ema_20
2018-01-31,312.000000,360.500000,305.679993,354.309998,,,,
2018-02-28,351.000000,359.989990,294.760010,343.059998,,,,
2018-03-31,345.010010,348.670013,248.210007,266.130005,,,,
2018-04-30,256.260010,309.500000,244.589996,293.899994,,,,
2018-05-31,293.510010,312.989990,273.420013,284.730011,,,,
2018-06-30,285.859985,373.730011,283.839996,342.950012,,,,
2018-07-31,360.070007,364.779999,286.130005,298.140015,,,,
2018-08-31,297.989990,387.459991,288.200012,301.660004,,,,
2018-09-30,296.940002,314.959991,252.250000,264.769989,,,,
2018-10-31,305.769989,347.160004,247.770004,337.320007,308.697003,,308.697003,
2018-11-30,338.260010,366.750000,325.000000,350.480011,308.314005,,316.293914,
2018-12-31,360.000000,379.489990,294.089996,332.799988,307.288004,,319.295018,
2019-01-31,306.100006,352.000000,279.279999,307.019989,311.377002,,317.063195,
2019-02-28,305.420013,324.239990,288.769989,319.880005,313.975003,,317.575342,
2019-03-31,306.940002,307.130005,254.460007,279.859985,313.488000,,310.718004,
2019-04-30,282.619995,296.170013,231.130005,238.690002,303.062000,,297.622004,
2019-05-31,238.850006,258.350006,184.100006,185.160004,291.763998,,277.174368,
2019-06-30,185.509995,234.740005,176.990005,223.460007,283.943999,,267.408120,
2019-07-31,230.210007,266.070007,222.220001,241.610001,281.628000,,262.717553,
2019-08-31,242.649994,244.509995,211.000000,225.610001,270.456999,289.577001,255.970725,289.577001
2019-09-30,224.080002,253.500000,218.360001,240.869995,259.495998,283.905001,253.225138,284.938239
2019-10-31,241.500000,340.839996,224.279999,314.920013,257.708000,282.498002,264.442388,287.793646
2019-11-30,316.320007,361.200012,309.260010,329.940002,260.000002,285.688502,276.351045,291.807585
2019-12-31,329.399994,435.309998,327.250000,418.329987,269.845000,291.910001,302.165398,303.857337
